better checkpoint: 0, reward: 0.0004772001539344249.
better checkpoint: 1, reward: 0.0006899524776963517.
better checkpoint: 2, reward: 0.0017315356869949028.
better checkpoint: 3, reward: 0.008666566317842808.
better checkpoint: 4, reward: 0.009906721949446364.
better checkpoint: 5, reward: 0.022938177448231727.
better checkpoint: 7, reward: 0.028623705817735753.
better checkpoint: 8, reward: 0.037821532942180054.
better checkpoint: 12, reward: 0.046294913420861124.
better checkpoint: 14, reward: 0.04853725210674384.
better checkpoint: 16, reward: 0.06355702005530475.
better checkpoint: 19, reward: 0.07494513099998584.
better checkpoint: 21, reward: 0.0783692864247132.
better checkpoint: 24, reward: 0.09259824476554059.
better checkpoint: 26, reward: 0.11427354190556799.
better checkpoint: 37, reward: 0.12225771120312856.
better checkpoint: 38, reward: 0.20078487736713213.
better checkpoint: 43, reward: 0.20490367755905026.
better checkpoint: 45, reward: 0.28928647086722775.
better checkpoint: 111, reward: 0.2965055451553781.
better checkpoint: 114, reward: 0.3132176468335092.
better checkpoint: 119, reward: 0.3175675126891292.
better checkpoint: 120, reward: 0.40364961937069893.
better checkpoint: 132, reward: 0.4107138152420521.
better checkpoint: 134, reward: 0.41080907604657113.
better checkpoint: 140, reward: 0.470524678081274.
better checkpoint: 148, reward: 0.47114986011292787.
better checkpoint: 149, reward: 0.4967130610777531.
better checkpoint: 150, reward: 0.5262672914401628.
better checkpoint: 154, reward: 0.5695171986706555.
better checkpoint: 157, reward: 0.5809905542992055.
better checkpoint: 158, reward: 0.6037851966544986.
better checkpoint: 162, reward: 0.660782367864158.
better checkpoint: 177, reward: 0.7270241438271478.
better checkpoint: 186, reward: 0.7639583733212203.
better checkpoint: 194, reward: 0.9037283626548015.
better checkpoint: 203, reward: 0.9418959167553111.
better checkpoint: 205, reward: 1.0544344700081274.
better checkpoint: 216, reward: 1.093877543536946.
better checkpoint: 219, reward: 1.1083832404809073.
better checkpoint: 222, reward: 1.2292152175679802.
better checkpoint: 225, reward: 1.3786781451292336.
better checkpoint: 239, reward: 1.5740152390114963.
better checkpoint: 243, reward: 1.761273719028104.
better checkpoint: 248, reward: 1.7666401147376747.
better checkpoint: 252, reward: 1.9718873815611004.
better checkpoint: 261, reward: 1.9869081220543012.
better checkpoint: 262, reward: 2.0022014091792517.
better checkpoint: 263, reward: 2.1608729838067666.
better checkpoint: 266, reward: 2.232477765250951.
better checkpoint: 274, reward: 2.9261024814285337.
better checkpoint: 296, reward: 2.986569184847176.
better checkpoint: 297, reward: 3.199463815507479.
better checkpoint: 300, reward: 3.5143525823391975.
better checkpoint: 305, reward: 4.013373979181051.
better checkpoint: 310, reward: 4.539378352053464.
